Date,Open,High,Low,Close,AdjClose,Volume
2018/3/19,206.869995,207.059998,202.639999,203.990005,203.990005,4261300
2018/3/20,204.25,205.600006,203.800003,204.75,204.75,2939300
2018/3/21,205.380005,207.270004,204,204.830002,204.830002,3235600
2018/3/22,203.179993,203.190002,196.990005,197.630005,197.630005,7113400
2018/3/23,198,198.25,191.869995,192.460007,192.460007,7257000
2018/3/26,196.899994,199.570007,195.080002,199.339996,199.339996,5223700
2018/3/27,200.479996,201.440002,194.440002,196.149994,196.149994,5149200
2018/3/28,196.169998,198.720001,193.779999,196.669998,196.669998,4388800
2018/3/29,198.080002,201.009995,197.330002,199.479996,199.479996,5714600
2018/4/2,199.009995,199.610001,192.020004,195,195,6178200
2018/4/3,196,198.240005,193.910004,197.960007,197.960007,4192900
2018/4/4,194.020004,200.529999,194,200.110001,200.110001,4100700
2018/4/5,201.169998,202.770004,200.270004,200.850006,200.850006,4661300
2018/4/6,199.699997,199.850006,193.740005,195.490005,195.490005,5580600
2018/4/9,196.729996,198.630005,194.949997,195.330002,195.330002,3873100
2018/4/10,198.160004,199.699997,197.050003,197.800003,197.800003,3250500
2018/4/11,196.600006,197.039993,194.919998,195.220001,195.220001,3522100
2018/4/12,196.5,199.600006,196.289993,198.130005,198.130005,3707900
2018/4/13,199.600006,199.850006,196,197,197,3150900
2018/4/16,198.649994,199.949997,197.550003,198.220001,198.220001,3819000
2018/4/17,199.850006,200.660004,198.899994,199.270004,199.270004,4658300
2018/4/18,200.240005,200.940002,199.399994,199.509995,199.509995,2872900
2018/4/19,199.990005,201.479996,199.199997,200.380005,200.380005,2726500
2018/4/20,200.940002,201,198.919998,200.130005,200.130005,3705800
2018/4/23,200.220001,200.839996,198.520004,199.419998,199.419998,2672600
2018/4/24,199.869995,200.660004,195.229996,196.800003,196.800003,3718200
2018/4/25,196.179993,197.360001,194.410004,196.800003,196.800003,3204400
2018/4/26,196.630005,197.960007,196.240005,197.029999,197.029999,2388500
